395.Mvag1,3376.0
395.Mvag4,2447.0
395.Mbo2,2273.0
395.Bbd8,2061.0
395.Mvag7,2061.0
395.Bft7,1945.0
395.Mvag2,1921.0
395.Mvag10,1903.0
395.Bbi9,1890.0
395.Mvag9,1853.0
395.Bbd9,1849.0
395.Bft9,1820.0
395.Bbi8,1817.0
395.Bbo7,1791.0
395.Bbi10,1736.0
395.Mbd11,1718.0
395.Bft8,1709.0
395.Bbd1,1680.0
395.Bbo11b,1644.0
395.Bbi1,1637.0
395.Bbi7,1633.0
395.Mbd7,1602.0
395.Mbo11,1589.0
395.Bbo8,1542.0
395.Mvag6,1536.0
395.Bmec6,1535.0
395.Mbi2,1477.0
395.Bmec4,1476.0
395.Mbi7,1455.0
395.Bbo4,1451.0
395.Bbo11a,1414.0
395.Bbo10,1408.0
395.Bnf9,1406.0
395.Bmec11b,1401.0
395.Mbo9,1399.0
395.Bmec9,1390.0
395.Bbd7,1388.0
395.Bnf2,1385.0
395.Mbi1,1382.0
395.Bft4,1376.0
395.Mbo7,1373.0
395.Bnf6,1371.0
395.Bft6,1362.0
395.Bbi4a,1359.0
395.Bbd11a,1354.0
395.Bbd2,1335.0
395.Mbi11,1331.0
395.Mbd6,1324.0
395.Mvag8,1321.0
395.Mbd4,1317.0
395.Bbo9,1285.0
395.Bbd4,1281.0
395.Mbd1,1275.0
395.Mbd9,1262.0
395.Mbo6,1239.0
395.Mbd2,1236.0
395.Bbo6,1219.0
395.Bmec10,1217.0
395.Bbi11a,1209.0
395.Bmec11a,1209.0
395.Mbi6,1198.0
395.Bbd11b,1190.0
395.Mbi8,1189.0
395.Bbi11b,1180.0
395.Mbi4,1175.0
395.Mbi9,1172.0
395.Bbi2,1158.0
395.Mbo8,1149.0
395.Mbd8,1137.0
395.Bbd6,1132.0
395.Bbi6,1113.0
395.Mbo1,1111.0
395.Mbo10,1033.0
395.Mbi10,1023.0
395.Bbo2,1018.0
395.Mbo4,1005.0
395.Mbd10,996.0
395.Bbd10,973.0
395.Bbo1,966.0
395.Bmec1,521.0
